Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,s 183-1141A-13R1 [5169],"BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,225303.67000000004,17081.19,,104262.447,,,,65370.93,76472.9,29910.784,929.3496,,7720.395,22181.5243,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.82,,,,,,,,,,,,,29.1,,363,230,,,35.7,95.2,195,155,17.4,,,,,13,458,24.3,244,30.5,1.12,,,,,,,,,,,0.04,233,23.5,56.4,7.34,31,6.73,2.07,4.79,0.78,4.97,0.92,2.43,0.27,1.94,0.27,4.99,1.76,,,,,,,,,2.49,,1.6,0.44,,,,,,,,,,,,,,,,,,,,,,,,,117782,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,s 183-1141A-17RCC [5169],"BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,220629.32000000004,21096.768,,96852.933,,,,102836.79000000001,60463.62,14050.832,2245.9282,,5229.945,24036.1668,3229.5153999999998,,,,,,,,,,,,,,,,73300.,,,,,,,,,,,,,,0.4,1.43,,,,,,,,,,,,,27.8,,285,191,,,60.3,166,216,148,22.3,,,,,3.3,591,40.2,266,35.1,0.72,,,,,,,,,,,0.05,287,30,71.9,10.5,43,9.75,3.11,9.78,1.4,7.75,1.4,3.85,0.46,3.33,0.46,6.98,1.83,,,,,,,,,4.18,,1.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,117783,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-18R2,1 [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,223433.93,18759.341999999997,,89443.419,,,,88145.81999999999,74328.8,28463.487999999998,1548.9160000000002,,5146.93,21958.9672,2924.0207,,,,,,,,,,,,,,,,64000.,,,,,,,,,,,,,,2.4,1.41,,,,,,,,,,,,,27.4,,349,108,,,50.9,138,336,178,22.5,,,,,10.8,537,32.1,246,31.8,1.12,,,,,,,,,,,0.24,266,26.4,61.6,9.55,39.8,8.84,2.72,8.9,1.28,7.06,1.27,3.48,0.38,2.76,0.38,6.75,1.59,,,,,,,,,2.63,,1.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,117784,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-19R1,2 [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,220161.885,16841.453999999998,,83621.65800000001,,,,86746.68000000001,80046.4,36363.312,1084.2412000000002,,6143.11,20846.1817,2051.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.34,,,,,,,,,,,,,29.5,,285,358,,,57,198,214,132,19.3,,,,,6.2,493,28.5,176,26.3,0.5,,,,,,,,,,,0.08,261,20.3,51.9,7.32,30.6,7.04,2.37,7.4,0.96,5.75,1.09,2.96,0.31,2.38,0.31,4.68,1.5,,,,,,,,,17.2,,1.02,0.24,,,,,,,,,,,,,,,,,,,,,,,,,117785,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-19R2,7 [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,220629.32000000004,16601.718,,84150.909,,,,86047.11,81475.8,36906.047999999995,851.9038,,6143.11,21736.4101,2007.5366000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.47,,,,,,,,,,,,,30.1,,264,350,,,35.4,145,256,117,20.5,,,,,8.7,477,29.9,185,28.4,0.82,,,,,,,,,,,0.07,323,22.8,57.2,8.18,33.4,7.85,2.41,7.8,1.06,6.37,1.15,3.28,0.39,2.86,0.39,4.97,1.65,,,,,,,,,2.66,,1.24,0.18,,,,,,,,,,,,,,,,,,,,,,,,,117786,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-21R2,1D [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,232315.19500000004,18819.275999999998,,94206.67800000001,,,,82549.26,67396.20999999999,19236.976,1394.0244,,7554.365000000001,23071.752699999997,2400.3155,,,,,,,,,,,,,,,,47500.,,,,,,,,,,,,,,4,1.2,,,,,,,,,,,,,29.3,,218,300,,,58.9,208,194,126,18.5,,,,,6.7,523,27.2,132,25.9,0.61,,,,,,,,,,,0.09,264,20.5,52.7,7.48,31.9,7.01,2.19,7.12,1,5.71,1.06,2.77,0.35,2.52,0.35,3.56,1.53,,,,,,,,,2.27,,1.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,117787,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-23R4,2 [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,219227.015,16541.783999999996,,88384.917,,,,83248.83,76472.9,38353.344,1471.4702,,6641.200000000001,19510.839099999997,2094.8208,,,,,,,,,,,,,,,,50700.,,,,,,,,,,,,,,1.9,1.05,,,,,,,,,,,,,27.3,,274,274,,,47.8,179,213,100,20.5,,,,,8.86,457.5,27,218,25.6,0.77,,,,,,,,,,,0.08,292,20.2,46.2,7.5,33.51,7.521,2.27,7.08,1.03,5.74,1.11,2.83,0.35,2.48,0.35,5.92,1.45,,,,,,,,,2.386,,1.32,0.2847,0.512629,,,0.70551,,18.125,,15.604,,38.8,,,,,,,,,,,,,,,117788,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-24R3,2C [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,222031.62500000003,16481.85,,88384.917,,,,81849.68999999999,77902.3,38775.471999999994,1239.1328,,6558.185,20326.8818,2094.8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.51,,,,,,,,,,,,,30.3,,311,362,,,53.9,200,238,130,18,,,,,8.6,461,28.5,215,26.7,0.83,,,,,,,,,,,0.12,318,21.8,55,7.87,33.2,7.36,2.38,7.28,0.99,6.26,1.16,3.23,0.4,2.81,0.4,5.83,1.62,,,,,,,,,2.51,,1.22,0.32,,,,,,,,,,,,,,,,,,,,,,,,,117789,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1141 / INDIAN OCEAN,HOLE 1141A,-32.2267,-32.2267,97.1283,97.1283,SUBAQUATIC,-1196.9,-1196.9,"s 183-1141A-24R3,3B [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,222966.49500000002,16421.916,,86267.913,,,,82549.26,77902.3,38896.08,1239.1328,,6309.14,20104.324699999997,2051.1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,1.3,,,,,,,,,,,,,28.6,,216,322,,,51.6,195,202,119,18.4,,,,,8.7,443,27.6,161,25.6,0.9,,,,,,,,,,,0.22,313,21.1,52.9,7.43,31.3,7.09,2.26,7.31,0.99,5.87,1.11,3.05,0.33,2.56,0.33,4.36,1.64,,,,,,,,,2.42,,1.2,0.22,,,,,,,,,,,,,,,,,,,,,,,,,117790,
[5169],SUBMARINE RIDGE,BROKEN RIDGE / BROKEN RIDGE / SITE 1142 / INDIAN OCEAN,HOLE 1142A,-32.2317,-32.2317,97.125,97.125,SUBAQUATIC,-1200.8,-1200.8,"s 183-1142A2R1,2A [5169]","BASALT, ALKALINE [5169]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5169] ,220629.32000000004,16661.652,,83621.65800000001,,,,85347.54000000001,75758.2,44685.263999999996,1394.0244,,5478.990000000001,19585.0248,2138.4629,,,,,,,,,,,,,,,,31800.,,,,,,,,,,,,,,3.9,1.59,,,,,,,,,,,,,30.2,,386,405,,,55.8,220,256,121,16.9,,,,,5.62,439,28.5,223,26.8,0.95,,,,,,,,,,,0.16,260,21.3,55.4,7.78,33.54,7.538,2.35,7.47,1.02,5.86,1.1,3.02,0.43,2.58,0.36,5.87,1.6,,,,,,,,,2.307,,1.32,0.2422,0.51262,,,0.70548,,18.104,,15.596,,38.78,,,,,,,,,,,,,,,117791,
